,# participantGroup_status,unknown,very low,low,moderate,high,very high,mixed,,# participantGroup_confidence,unknown,very low,low,medium,high,very high,mixed,,# participantGroup_time,unknown,very little,little,some,a lot,mixed,,# participantGroup_education,unknown,illiterate,minimal,moderate,high,very high,mixed,,# participantGroup_physicalDisabilities,unknown,none,minimal,moderate,strong,mixed,,# participantGroup_emotionalImpairments,unknown,none,minimal,moderate,strong,mixed,,# participantGroup_performing,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_conforming,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_promoting,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_venting,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_interest,unknown,very little,a little,some,a lot,extremely,mixed,,# participantGroup_feelings_project,unknown,negative,neutral,positive,mixed,,# participantGroup_feelings_facilitator,unknown,negative,neutral,positive,mixed,,# participantGroup_feelings_stories,unknown,negative,neutral,positive,mixed,,# participantGroup_topic_feeling,unknown,strongly negative,negative,neutral,positive,strongly positive,mixed,,# participantGroup_topic_private,unknown,very private,medium,not private,mixed,,# participantGroup_topic_articulate,unknown,hard,medium,easy,mixed,,# participantGroup_topic_timeframe,unknown,hours,days,months,years,decades,mixed,,# aboutYou_experience,none,a little,some,a lot,,# aboutYou_help,none,a little,some,a lot,,# aboutYou_tech,none,a little,some,a lot
#elicitingQuestions,What is the status of these participants in the community or organization?,,,,,,,,,How much self-confidence do these participants have?,,,,,,,,,How much free time do these participants have?,,,,,,,,What is the education level of these participants? ,,,,,,,,,Do these participants have physical limitations that will impact their participation? ,,,,,,,,Do these participants have emotional impairments that will impact their participation (such as mental illness or traumatic stress)?,,,,,,,,"For these participants, how important is performing well (with ""high marks"")?",,,,,,,,"For these participants, how important is conforming (to what is ""normal"" or expected)?",,,,,,,,"For these participants, how important is self-promotion (competing with others)?",,,,,,,,"For these participants, how important is speaking out (having a say, venting, sounding off)?",,,,,,,,How motivated are these participants to participate in the project?,,,,,,,,,How are these participants likely to feel about the project? ,,,,,,,How do these participants feel about you?,,,,,,,How do these participants feel about the idea of collecting stories?,,,,,,,What experiences have these participants had with the project's topic?,,,,,,,,,How private do these participants consider the topic to be?,,,,,,,How hard will it be for these participants to articulate their feelings about the topic?,,,,,,,How long of a time period do you need these participants to look back on?,,,,,,,,,How much experience do you have facilitating PNI projects?,,,,,,How much help will you have carrying out this project?,,,,,,How many technological resources will you have for carrying out this project?,,,,
directed questions,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,maybe,,,maybe,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,maybe,,very good,,,,,no,,,,,,,,,,,,,,no,maybe,,,maybe,maybe,,,,maybe,,,,,,,very good,,very good,,,,,very good,,,,very good,,,,very good,,,,,,very good,,,,,,,,,
undirected questions,,,no,maybe,,maybe,no,maybe,,,,no,maybe,,,maybe,maybe,,,,no,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,,maybe,,,,,,,,maybe,,,,,,,,,,maybe,no,,,,,no,maybe,,,very good,,,,,,,maybe,,,,,very good,,maybe,,,,,no,maybe,,maybe,,,,very good,,,,very good,,,,,very good,,,,,,,no,,maybe,no,,,,no,maybe,,maybe,no,maybe,,,no,maybe,,,,,no,maybe,,,,,,,,
point in time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,
event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extreme,,,maybe,,,,maybe,,,,,maybe,,,maybe,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,maybe,,,,,maybe,,,maybe,,,,,,,maybe,no,,,,,,,maybe,no,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,,,,very good,,,,,,,no,maybe,,,very good,,,,maybe,,,,,,maybe,,,,,,,,,
surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,maybe,,,,,,,,maybe,,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,,very good,,,,,maybe,,,,,,,very good,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,
change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,maybe,,,,,,,,maybe,,,,,,,,maybe,,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,,,,maybe,,,,,,,no,maybe,,,,,,,,,,,,,,,,,,,,,,
people places things,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,very good,,,,,,,,,no,maybe,,maybe,,,,no,,,,,,,,,,maybe,no,,,,,,,,,,,,,,,,,,,
fictional scenario,,,no,maybe,,maybe,no,maybe,,,,no,maybe,,maybe,no,maybe,,,,no,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,maybe,no,maybe,,,,maybe,,maybe,no,,,,,,,,,,,,,,,maybe,no,,,,,no,maybe,,,very good,no,,,,no,,,no,,,,no,,,no,,,,no,maybe,,no,,,,no,no,maybe,,,no,,,,very good,,,,,,,no,,,,,,,,,,,,,,,no,maybe,,,,,no,maybe,,,,,,,,
