Story title,Story text,Eliciting question,Feel about,Feel about,Feel about,Feel about,Scope,Come from,Come from,Come from,Needed,Needed,Needed,Needed,Needed,Got what needed,Ended well,Will remember,Amount of trust,Predictability,Position,Age group
,,,satisfied,frustrated,supported,disappointed,,first hand,second hand,rumor,help,to be heard,respect,trust,options,,,,,,,
The lost project,Never made it to the deadline. The people on top canned it. Brutal.,Best or worst moment,,frustrated,,disappointed,Team,first hand,,,help,to be heard,,,,1,5,55,1,10,Manager,35-50
The project from heaven,"Everything went right, we all learned a lot, and we made something worth having. Nothing better. Somehow all the pieces just fit together.",Best or worst moment,satisfied,,,,Team,first hand,,,help,,,trust,,100,88,28,65,62,Engineer,younger than 35
N/A,"So this guy comes in and it's one day after his contract ends and the system confiscated his card. He can't even get into the building to say goodbye to his friends. After seven years of hard work. I mean, they could have at least let him in to say goodbye.",Best or worst moment,,frustrated,,disappointed,System,,second hand,,,,respect,trust,,1,24,12,34,26,Engineer,35-50
Little cabinets,"My dad worked long and hard, but when he retired he said he wished he had become a carpenter. Now he's having a ball making little intricate cabinets. Makes you wonder.",Responsibility,,frustrated,,,Individual,,second hand,,,,,,options,43,44,43,34,36,Engineer,younger than 35
Crane job,"I watched a guy get crushed by a crane. It was a long time ago. The safety procedures we have today, it could never happen. That guy would have lived. I see his kids sometimes. Sad.",Responsibility,,,,disappointed,System,first hand,,,help,,respect,,,24,12,45,42,12,Manager,35-50
Responsibility,"Responsibility? I came in every day and worked hard. Last month they told me to find another job. Who had responsibility to whom, and who kept their word? ",Responsibility,,frustrated,,disappointed,Team,first hand,,,,,respect,trust,,1,1,98,1,5,Manager,35-50
No problem,"Last week I was working in the lab and I dropped a big glass thing that must have cost thousands of dollars. My manager was great about it. He just said ""happens to everybody"" and ordered another one. I don't know if I would have been as understanding.",Surprise,,,supported,,Pair,first hand,,,,,respect,trust,,99,66,87,89,34,Engineer,younger than 35
Speed bumps,Why do they have those stupid speed bumps in the parking lot? Do they think the adult employees here will run donuts in the parking lot? And at the same time they expect us to work long hours and do amazing things. These contradictory messages are demoralizing. I put in an anonymous comment about that. As if they care.,Responsibility,,frustrated,,disappointed,System,first hand,,,help,,respect,,,33,46,14,24,79,Support staff,51 or older
My idea,"The greatest moment I had this past year was when my anonymous idea got taken up. I am not going to say what it was. It was something I thought of one day at lunch, a way to help us all be more productive. No, I will not tell you what it was. But when I saw it actually being built, my heart just about burst with pride. That was MY idea folks. ",Best or worst moment,satisfied,,supported,,Team,first hand,,,,to be heard,respect,,,82,73,88,54,24,Engineer,younger than 35
Popcorn,"This guy I heard about was in late at night, right? Trying to finish up a report that was due the next day. His boss asked him to do it, he begged to be let off but the boss  said it was ""top priority."" So he's there working, tired, on his third cup of coffee, and he hears a noise in the next office. Being conscientious he goes to check. It's the boss. So this guy didn't say anything, he just watched. The boss was watching a movie on his computer. The guy thought okay, just a minute of that, but half an hour later he goes back and the boss is still watching it and he has popcorn in there. The guy went back to his desk, closed down and went home. Yep. True story.",Responsibility,,frustrated,,disappointed,Pair,,,rumor,,,respect,trust,,16,28,24,10,22,Engineer,51 or older
The dreaded interns,"The interns are coming next week. I try to be kind but really. These kids, they come in and everybody treats them like the whole place is a party. We pretend not to have deadlines, we talk about creativity. Maybe we want to believe it but it's not true! And then behind their backs we get the real work done. Last year I ended up hiding from them so I could get my work done, because they think it's part of the job to sit around chatting about ideas. Sheesh.",Responsibility,,frustrated,,,Team,first hand,,,,,respect,,,32,55,17,42,69,Support staff,35-50
Priorities,"So he says, we have to prioritize the configuration process. I said, there is no point in doing that before you standardize the file system, and he's like, you don't understand our customers. I don't understand the customers! He doesn't understand the product! So I did what he said and it totally failed, and who gets blamed? Me.",Responsibility,,frustrated,,disappointed,Pair,first hand,,,,to be heard,,,options,28,28,44,19,92,Manager,35-50
Details,"What I've learned is, don't obsess about the details, because you'll waste your time. So an example is, we are supposed to submit a proposal of our ideas, right, and I stayed up all weekend and wrote the most beautiful 50 page thing you ever saw. The other proposals, when I saw them all I could think was, losers. They wrote like two page things that had no polish. Guess who won. They did. I heard the committee didn't even read past my second page. Wasted weekend.",Best or worst moment,,frustrated,,disappointed,Team,first hand,,,,to be heard,respect,,,13,31,63,27,73,Engineer,younger than 35
Never trust a supplier,"Oh, I know a story about that but I'm not telling. All I will say is, don't trust the suppliers. That's all.",Responsibility,,frustrated,,disappointed,Team,,,rumor,,,,trust,,3,6,79,9,79,Manager,51 or older
Couldn't wait,"A time I couldn't wait to come to work? I would say there have been lots of times like that. One time? Hm. The time I was just about finished with my report on the watershed. I was putting the last touches on it, holding it up and looking at it from all angles. I felt confident, I knew it was needed, I knew I had done it well. It's times like that, when I know what I'm doing and know it's WORTH doing, that I come running in to work.",Best or worst moment,satisfied,,,,Individual,first hand,,,,,,,,97,88,38,56,44,Engineer,younger than 35
The handshakes,"I will never forget the day I came into the building for the first time. Every single person there shook my hand. I was like, are these people strange or what? It was only later I found out that new employees are always welcomed in that way. It's not an official policy or anything, but people around here just do that. Now I do it myself. What a wonderful way to start things out.",Surprise,satisfied,,supported,,Team,first hand,,,,,respect,,,100,66,76,72,22,Support staff,35-50
An amazing effort,"I would just like to mention one incident that raised my respect for my boss (I won't say her name) last year. I was not here yet but I heard about this. Somebody fell on the job. You guys know who he was. He got his worker's compensation which was fine. He was home for two weeks. She stayed until late every night to get his work done. Some of us helped but she took charge of it. She told him to relax and heal. And when he came back it was like he had never gone, he had an easy time getting started again. She was exhausted, I'm sure! But happy. I have never before or since seen such a boss. If all of them were like that, this company would be a different place.",Responsibility,satisfied,,supported,,Individual,,second hand,,,,respect,,,89,71,92,93,43,Factory worker,younger than 35
A great idea killed,"I had this great idea. They wanted a technical writer who knew some programming, right? That's why they hired me in the first place. So I got this great idea, it was to write a tutorial with some interactive screens. I knew how to do it, I could pull it off. But I told it to the programmers and they, well, they sort of crapped all over it. They said they didn't have time to test it, and it wouldn't meet their quality standards. Whatever. I think they just didn't want the writer treading on their space. It would have been great. But they killed it.",Responsibility,,,,disappointed,Team,first hand,,,,to be heard,respect,,,22,27,37,25,66,Support staff,35-50
A hundred people,"My cousin just retired, he was working at one of those custom manufacturing places down on route 50, do you know them? Anyway, when he left he made a list of a hundred people he knew at work, and their phone numbers and emails and all, so he could stay in touch. I thought, do I have a hundred people here I would want to keep in touch with? Do I have thirty? Says something about this place. Or maybe just about me.",Best or worst moment,,,,disappointed,Individual,,second hand,,,,,trust,,47,52,32,55,82,Manager,51 or older
Working its way down,It's not a pretty story. The people who made the mistake would not own up to the mistake. It worked its way down. The person who ultimately got stuck with it had nothing to do with it. They were just the most defenceless. It's just the way we do things here. Nobody talks about it. It's impossible.,Responsibility,,frustrated,,disappointed,Team,,,rumor,,,respect,trust,,7,9,48,12,83,Manager,51 or older
Swivel chairs,"I work late at night sometimes. But I don't mind. The offices are quiet at night, and sometimes I bring my little sister in. We laugh, we spin around in the desk chairs, we eat popcorn. Sometimes when I'm here during the day and overwhelmed with work I just look at a desk chair and picture my little sister in it and smile. I don't think the security guard is supposed to let her in, but they're all nice guys and they know me. That's one of the things I like about this place. People are human beings.",Best or worst moment,satisfied,,supported,,Team,first hand,,,,,,trust,,75,80,50,70,42,Engineer,younger than 35
Where are the windows,"I noticed something the other day. You know how this building has offices with lots of windows on the outside and offices with no windows on the inside? The managers have the window offices, right, because they are nicer looking. But the managers are never here! They're always off at meetings. We're always here, day in and day out, in our stupid windowless offices. If I was in charge I'd turn that right on its head.",Responsibility,,frustrated,,,System,first hand,,,,to be heard,,,options,14,40,23,22,68,Support staff,35-50
My other boss,"For a little while I had two bosses. I was asked to help out on a project for a little while. I liked the boss on that project a lot. He was kind and generous, and he really listened. When I went back to my regular work, he asked if I'd stay on in his group. I didn't feel like what they were doing was ""my thing"" so I said no. But I was surprised later, years later, to realize that I really regretted going back. If I could go back now I'd work on whatever his group was doing, and who cares if it was ""my thing.""",Surprise,,,supported,,Pair,first hand,,,,,,trust,options,81,45,32,42,55,Engineer,51 or older
The quiet guy,"I had this co-worker. He was kind of dull. Nobody thought he had any creativity. One day at lunch he and I were the only ones there, and he started talking about a ""little theory"" he had about the process we were working on. It was amazing. It was groundbreaking. But he wouldn't let me tell anyone about it! He LIKED not being noticed. I noticed that his ""theory"" did work its way into our work process later on, so he MUST have told somebody higher up. But his name was never connected to it. I guess he wanted it that way.",Responsibility,,,supported,,Individual,first hand,,,,to be heard,,,,69,57,35,67,35,Factory worker,51 or older
Not next year,"This was back in my first year. I was in charge of a charity drive. We had t-shirts, bumper stickers, stuff like that printed up. Attendance was not as high as we expected, because it turned out to be a rainy day. The director was there, and he turned to me and said, ""That's all right, because we can use the t-shirts and things on our drive next year."" I sank into the ground, because I had put the year on the t-shirts and things. There was nothing we could do. I definitely learned a lesson that day, to think ahead. I'll never forget it. But I'll tell you one thing, I didn't lose my job over it. When I did get around to telling my boss about it, he totally understood and helped me fix the problem.",Best or worst moment,,,,disappointed,Individual,first hand,,,help,,,trust,,77,48,76,56,14,Support staff,51 or older
Oblivious,"Everybody knew I had broken my leg. They saw me hobbling around the office, first with crutches, then with a cane. When I got my performance review, and it said ""improvement needed"" in ""energy for work,"" I couldn't believe it. I went straight to my boss. ""Didn't anyone mention my broken leg?"" ""Oh, no,"" he said, ""that sort of thing didn't come up."" I can't believe none of them even MENTIONED all the hard work I've done keeping up. That was the worst moment this year.",Best or worst moment,,,,disappointed,Team,first hand,,,,to be heard,,trust,,22,32,77,42,24,Manager,younger than 35
She always does,"I was up half the night, but I got it done. When I was cleaning up after my presentation, I heard my boss say to somebody in the back of the room, ""I knew she would come through. She always does."" All that work was worth it to hear him say that.",Best or worst moment,satisfied,,supported,,Pair,first hand,,,,to be heard,respect,,,89,97,76,86,42,Engineer,younger than 35
Help from an unexpected source,"So it's the usual thing, I'm up late working on a deadline. I have 32 data sets to check, and it's going to be a long night. I upload the third one, and then I see that somebody has already checked data set 10. I get on the chat line and say, ""Who's working?"" Turns out it's Malcolm, the same guy who stormed out of the meeting because ""we can never get that all done by tomorrow."" What a pleasant surprise. We got it done, and we got some sleep, and we had some great pizza too.",Surprise,satisfied,,supported,,Pair,first hand,,,help,,,trust,,93,89,52,67,42,Engineer,35-50
What a real manager should be,"Do you know how many people I told my idea to before somebody listened? Ten. I couldn't get anybody to listen to something that would save us tens of thousands. But when I got to Sharon, everything was different. She not only listened, she got it right away and ran my suggestion right up the lines of authority until it could be implemented. She's what a real manager should be. She knows what she's doing.",Responsibility,,,supported,disappointed,Individual,first hand,,,help,to be heard,,,,95,58,52,62,32,Factory worker,51 or older
