,"# Venues","individual interviews","group interviews","peer interviews","group story sessions","surveys","journals","narrative incident reports","gleaned stories",,"# Questions about stories","choice","range","free text"
"# aspects_status",,,,,,,,,,,,,,
"unknown",,,,,,,,,,,,,,
"very low",,,,,,,,,,,,,,
"low",,,,,,,,,,,,,,
"moderate",,,,,,,,,,,,,,
"high",,,,,,,,,,,,,,
"very high",,,,,,,,,,,,,,
"mixed",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# aspects_confidence",,,,,,,,,,,,,,
"unknown",,,,,,,,,,,,,,
"very low",,,,,,,,,,,,,,
"low",,,,,,,,,,,,,,
"medium",,,,,,,,,,,,,,
"high",,,,,,,,,,,,,,
"very high",,,,,,,,,,,,,,
"mixed",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# aspects_time",,,,,,,,,,,,,,
"unknown",,,,,,,,,,,,,,
"very little",,,,,,,,,,,,,,
"little",,,,,,,,,,,,,,
"some",,,,,,,,,,,,,,
"a lot",,,,,,,,,,,,,,
"mixed",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# aspects_education",,,,,,,,,,,,,,
"unknown",,,,,,,,,,,,,,
"illiterate",,,,,,,,,,,,,,
"minimal",,,,,,,,,,,,,,
"moderate",,,,,,,,,,,,,,
"high",,,,,,,,,,,,,,
"very high",,,,,,,,,,,,,,
"mixed",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# aspects_physicalDisabilities",,,,,,,,,,,,,,
"unknown",,,,,,,,,,,,,,
"none",,,,,,,,,,,,,,
"minimal",,,,,,,,,,,,,,
"moderate",,,,,,,,,,,,,,
"strong",,,,,,,,,,,,,,
"mixed",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# aspects_emotionalImpairments",,,,,,,,,,,,,,
"unknown",,,,,,,,,,,,,,
"none",,,,,,,,,,,,,,
"minimal",,,,,,,,,,,,,,
"moderate",,,,,,,,,,,,,,
"strong",,,,,,,,,,,,,,
"mixed",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"# aspects_performing",,,,,,,,,,,,,,
"unknown",,,,,,,,,,,,,,
"very unimportant",,,,,,,,,,,,,,
"somewhat unimportant",,,,,,,,,,,,,,
"somewhat important",,,,,,,,,,,,,,
"very important",,,,,,,,,,,,,,
