; NarraFirma example story form - See the help system for instructions on formatting files of this type.,,,,,,,,,,
,,,,,,,,,,
Data column name,Type,About,Short name,Long name,Options,Answers,,,,
Eliciting question answered,eliciting,eliciting,Eliciting question,,,Best or worst moment|What was your best or worst moment?,"Responsibility|When you think of the word ""responsibility,"" what moment comes to mind?",Surprise|What happened that surprised you?,,
Feel about,Multi-choice multi-column texts,story,Feel about,How do you feel about this story?,maxNumAnswers=2|writeInTextBoxLabel=Other,satisfied,frustrated,supported,disappointed,
Scope,Single choice,story,Scope,How many people were involved in this story?,,Individual,Pair,Team,System,
Scope custom answer name,Single choice,story,Scope custom answer name,How many people were involved in this story?,listBoxRows=4,Indv|Individual,Pair,Team,System,
Scope index,Single choice indexed,story,Scope index,How many people were involved in this story?,,Individual,Pair,Team,System,
Come from,Multi-choice multi-column texts,story,Come from,Where did this story come from?,,first hand,second hand,rumor,,
Needed,Multi-choice multi-column texts,story,Needed,What did the main character of this story want or need?,maxNumAnswers=3,help|help,to be heard|to be heard,respect|respect,trust|trust,options|options
Needed delimited,Multi-choice single-column delimited,story,Needed delimited,What did the main character of this story want or need?,,help|help,to be heard|to be heard,respect|respect,trust|trust,options|options
Needed index delimited,Multi-choice single-column delimited indexed,story,Needed index delimited,What did the main character of this story want or need?,,help,to be heard,respect,trust,options
Needed yes/no,Multi-choice multi-column yes/no,story,Needed yes/no,What did the main character of this story want or need?,,help|help,to be heard|to be heard,respect|respect,trust|trust,options|options
Got what needed,Scale,story,Got what needed,Did they get what they needed?,,nothing,everything,0,100,
Ended well,Scale,story,Ended well,How well did this story end?,,horribly,perfectly,,,
Will remember,Scale,story,Will remember,How long will you remember this story?,,five minutes,the rest of my life,,,
Amount of trust,Scale,story,Amount of trust,How much trust was evident in this story?,,none,complete,,,
Predictability,Scale,story,Predictability,Did the people in this story know what was coming next?,,not at all,completely,,,
Position,Single choice,participant,Position,What is your position?,,Manager,Engineer,Support staff,Factory worker,
Age group,Single choice,participant,Age group,What is your age group?,,younger than 35,35-50,51 or older,,
,Title,form,,,,Welcome to the <i>story collection</i>!,,,,
,Start text,form,,,,Please tell us a <i>story</i>.,,,,
,Image,form,,,,http://www.cfkurtz.com/images/pic_me2.jpg,,,,
,End text,form,,,,<strong>Thank you</strong> for participating!,,,,
,About you text,form,,,,About you,,,,
,Thank you text,form,,,,Thank you!,,,,
,Choose question text,form,,,,Please choose a question to which you would like to respond.,,,,
,Enter story text,form,,,,Please enter your response in the box below.,,,,
,Name story text,form,,,,Please give your story a name.,,,,
,Tell another story text,form,,,,Would you like to tell another story?,,,,
,Tell another story button,form,,,,"Yes, I'd like to tell another story",,,,
,Max num stories,form,,,,10,,,,
,Custom CSS,form,,,,,,,,
,Custom CSS for Printing,form,,,,,,,,
,Scale range,import,,,,0,100,,,
,Yes no questions Q-A separator,import,,,,: ,,,,
,Yes no questions Q-A ending,import,,,,,,,,
,Yes no questions yes indicator,import,,,,Yes,,,,
,Multi choice single column delimiter,import,,,,",",,,,
,Story title column name,import,,,,Story title,,,,
,Story text column name,import,,,,Story text,,,,
,Participant ID column name,import,,,,Participant ID,,,,
,Story collection date column name,import,,,,Collection date,,,,
