,#outcomes_peopleFeltHeard,unknown,never,occasionally,sometimes,often,mixed,#outcomes_peopleFeltInvolved,unknown,never,occasionally,sometimes,often,mixed,#outcomes_peopleLearnedAboutCommOrg,unknown,never,occasionally,sometimes,often,mixed,#outcomes_peopleWantedToTellMoreStories,unknown,never,occasionally,sometimes,often,mixed,#outcomes_peopleWantedToShareMoreStoriesWithEachOther,unknown,never,occasionally,sometimes,often,mixed,#outcomes_peopleFeltStoriesNeededToBeHeard,unknown,not at all,somewhat,definitely,mixed,#outcomes_peopleFeltNobodyCares,unknown,not at all,somewhat,definitely,mixed,#outcomes_peopleFeltNobodyCanMeetNeeds,unknown,not at all,somewhat,definitely,mixed,#outcomes_peopleFeltTheyNeedNewStories,unknown,not at all,somewhat,definitely,mixed,#outcomes_peopleWantedToKeepExploring,unknown,not at all,somewhat,definitely,mixed,#outcomes_crisisPointsWereFound,unknown,not at all,somewhat,definitely,mixed,#outcomes_issuesWereBeyondWords,unknown,not at all,somewhat,definitely,mixed,#outcomes_peopleLearnedAboutTopic,unknown,never,occasionally,sometimes,often,mixed,#outcomes_issuesNewMembersStruggleWith,unknown,not at all,somewhat,definitely,mixed,#outcomes_foundInfoWithoutUnderstanding,unknown,not at all,somewhat,definitely,mixed,#outcomes_foundOverConfidence,unknown,not at all,somewhat,definitely,mixed,#outcomes_peopleCuriousAboutStoryWork,unknown,never,occasionally,sometimes,often,mixed
#interventions,"During your project, did the people in this group say they felt heard for the first time?",,,,,,,Did they say they felt involved for the first time?,,,,,,,Did they say they learned a lot about their community or organization?,,,,,,,"During your story collection, did these people seem to want to tell more stories than you collected?",,,,,,,Did you ever feel that they wanted to share more experiences with each other than they did?,,,,,,,"Did these people feel that some of the stories you collected ""needed to be heard"" by anyone?",,,,,,"Were there any issues that these people thought ""nobody cares"" about?",,,,,,Do the people in this group have needs that nobody can meet?,,,,,,Do these people need to start telling themselves new stories?,,,,,,Were there any issues about which the people in this group seemed to want to keep exploring?,,,,,,"Did you discover any ""crisis points"" where people in this group needed help and didn't get it?",,,,,,"Did you find any issues for this group that were beyond words, that no amount of discussion could resolve?",,,,,,Did these people say that they learned a lot about the topic by participating in the project?,,,,,,,Did you notice that new members of the community or organization were having a harder time making sense of things?,,,,,,"Were there any issues that these people found difficult to understand, even though abundant information was available?",,,,,,Did you discover any areas in which these people had more confidence than skill?,,,,,,Did any of these participants express an interest in learning more about story work?,,,,,,
narrative ombudsmen,,,,,good,very good,good,,,,,good,very good,,,,,,,,,,,,,good,good,good,,,,,good,good,good,,,,good,very good,good,,,,good,very good,good,,,,good,good,good,,,,,,,,,,good,good,good,,,,good,very good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
narrative suggestion boxes,,,,,good,very good,good,,,,,good,good,,,,,,,,,,,,,good,good,good,,,,,good,good,good,,,,good,very good,good,,,,good,very good,good,,,,good,good,good,,,,,,,,,,good,good,good,,,,good,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
story-sharing spaces,,,,,good,very good,good,,,,,,,,,,,,,,,,,,,good,very good,good,,,,,good,very good,good,,,,good,good,good,,,,,,,,,,good,very good,good,,,,good,good,good,,,,good,good,good,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,good,good,good
narrative orientations,,,,,,,,,,,,,,,,,,,good,very good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,very good,good,,,,good,very good,good,,,,good,good,good,,,,,,,,,,,,,
narrative learning resources,,,,,,,,,,,,,,,,,,,good,very good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,,,,,,,,good,very good,good,,,,good,very good,good,,,,good,good,good,,,,good,good,good,,,,,,,
narrative simulation,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,good,very good,good,,,,good,very good,good,,,,,,,
narrative presentations,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,good,good,good,,,,,,,,,,,good,good,good
dramatic action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,good,good,,,,good,very good,good,,,,,,,,,,good,good,good,,,,,,,,,,good,very good,good,,,,good,very good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensemaking spaces,,,,,,,,,,,,good,very good,,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,good,good,good,,,,,,,,,,good,good,good,,,,good,very good,good,,,,,,,,,,,,,,,,,good,good,good,,,,good,good,good,,,,good,good,good,,,,good,good,good,,,,,,,
sensemaking pyramids,,,,,,,,,,,,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,good,good,,,,good,very good,good,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,good,good,good,,,,good,good,good,,,,,good,very good,good
narrative mentoring,,,,,good,good,good,,,,,good,good,,,,,,,,,,,,,good,good,good,,,,,good,very good,good,,,,good,good,good,,,,good,good,good,,,,,,,,,,good,good,good,,,,good,good,good,,,,,,,,,,good,good,good,,,,,good,good,good,,,,good,very good,good,,,,good,good,good,,,,good,good,good,,,,,good,good,good
narrative therapy,,,,,good,good,good,,,,,,,,,,,,,,,,,,,good,good,good,,,,,,,,,,,good,good,good,,,,good,very good,good,,,,good,very good,good,,,,good,very good,good,,,,good,good,good,,,,,,,,,,good,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participatory theatre,,,,,good,good,good,,,,,good,very good,,,,,,,,,,,,,good,good,good,,,,,,,,,,,good,very good,good,,,,good,very good,good,,,,good,good,good,,,,good,very good,good,,,,good,very good,good,,,,good,very good,good,,,,good,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,good,good
